system:index,month,year,.geo
208,5.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
209,6.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
210,7.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
211,8.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
212,9.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
213,10.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
214,11.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
215,12.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
216,1.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
217,2.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
218,3.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
219,4.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
220,5.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
221,6.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
222,7.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
223,8.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
224,9.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
225,10.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
226,11.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
227,12.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
228,1.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
229,2.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
230,3.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
231,4.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
232,5.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
233,6.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
234,7.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
235,8.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
236,9.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
237,10.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
238,11.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
239,12.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
